acc sym alias
Q5TH30 NDRG3 NDRG3
A0A0A0MQW0 MYEF2 MYEF2
A0A0A0MQW0 MYEF2 HsT18564
A0A0A0MQW0 MYEF2 MEF-2
A0A0A0MQW0 MYEF2 MST156
A0A0A0MQW0 MYEF2 MSTP156
A0A0A0MQW0 MYEF2 myEF-2
Q9NQ79 CRTAC1 CRTAC1
Q9NQ79 CRTAC1 ASPIC
Q9NQ79 CRTAC1 ASPIC1
Q9NQ79 CRTAC1 CEP-68
Q8TBF4 ZCRB1 ZCRB1
Q8TBF4 ZCRB1 MADP-1
Q8TBF4 ZCRB1 MADP1
Q8TBF4 ZCRB1 RBM36
Q8TBF4 ZCRB1 SNRNP31
Q8TBF4 ZCRB1 ZCCHC19
A0A0S2Z4U0 RIN1 RIN1
A0A0A0MQW8 GPR161 GPR161
A0A0A0MQW8 GPR161 RE2
Q9NXT0 ZNF586 ZNF586
Q9BZL4 PPP1R12C PPP1R12C
Q9BZL4 PPP1R12C LENG3
Q9BZL4 PPP1R12C MBS85
Q9BZL4 PPP1R12C p84
Q9BZL4 PPP1R12C p85
Q8TBF8 FAM81A FAM81A
B1AHD1 SNU13 SNU13
B1AHD1 SNU13 15.5K
B1AHD1 SNU13 FA-1
B1AHD1 SNU13 FA1
B1AHD1 SNU13 NHP2L1
B1AHD1 SNU13 NHPX
B1AHD1 SNU13 OTK27
B1AHD1 SNU13 SNRNP15-5
B1AHD1 SNU13 SPAG12
B1AHD1 SNU13 SSFA1
P20930 FLG FGFR1
P20930 FLG BFGFR
P20930 FLG CD331
P20930 FLG CEK
P20930 FLG FGFBR
P20930 FLG FGFR-1
P20930 FLG FLG
P20930 FLG FLT-2
P20930 FLG FLT2
P20930 FLG HBGFR
P20930 FLG HH2
P20930 FLG HRTFDS
P20930 FLG KAL2
P20930 FLG N-SAM
P20930 FLG OGD
P20930 FLG bFGF-R-1
P20930 FLG FLG
P20930 FLG ATOD2
F8VUJ3 POC1B-GALNT4 POC1B-GALNT4
P20933 AGA AGA
P20933 AGA AGU
P20933 AGA ASRG
P20933 AGA GA
Q5STK2 PFDN6 PFDN6
Q5STK2 PFDN6 H2-KE2
Q5STK2 PFDN6 HKE2
Q5STK2 PFDN6 KE-2
Q5STK2 PFDN6 PFD6
P07738 BPGM BPGM
P07738 BPGM DPGM
Q15573 TAF1A TAF1A
Q15573 TAF1A MGC:17061
Q15573 TAF1A RAFI48
Q15573 TAF1A SL1
Q15573 TAF1A TAFI48
F2Z2J1 RPS6KA2 RPS6KA2
F2Z2J1 RPS6KA2 HU-2
F2Z2J1 RPS6KA2 MAPKAPK1C
F2Z2J1 RPS6KA2 RSK
F2Z2J1 RPS6KA2 RSK3
F2Z2J1 RPS6KA2 S6K-alpha
F2Z2J1 RPS6KA2 S6K-alpha2
F2Z2J1 RPS6KA2 p90-RSK3
F2Z2J1 RPS6KA2 pp90RSK3
D7NTK9 BMP3 BMP3
D7NTK9 BMP3 BMP-3A
A0A024QZT9 NQO2 NQO2
A0A024QZT9 NQO2 DHQV
A0A024QZT9 NQO2 DIA6
A0A024QZT9 NQO2 NMOR2
A0A024QZT9 NQO2 QR2
Q9NXR8 ING3 ING3
Q9NXR8 ING3 Eaf4
Q9NXR8 ING3 ING2
Q9NXR8 ING3 MEAF4
Q9NXR8 ING3 p47ING3
Q9C0H5 ARHGAP39 ARHGAP39
Q9C0H5 ARHGAP39 CrGAP
Q9C0H5 ARHGAP39 Vilse
Q4VXU2 PABPC1L PABPC1L
Q4VXU2 PABPC1L C20orf119
Q4VXU2 PABPC1L PABPC1L1
Q4VXU2 PABPC1L dJ1069P2.3
Q4VXU2 PABPC1L ePAB
Q9H2Y9 SLCO5A1 SLCO5A1
Q9H2Y9 SLCO5A1 OATP-J
Q9H2Y9 SLCO5A1 OATP-RP4
Q9H2Y9 SLCO5A1 OATP5A1
Q9H2Y9 SLCO5A1 OATPRP4
Q9H2Y9 SLCO5A1 SLC21A15
Q00535 CDK5 CDK5
Q00535 CDK5 LIS7
Q00535 CDK5 PSSALRE
Q96N66 MBOAT7 MBOAT7
Q96N66 MBOAT7 BB1
